modelNo	seriesName	style	combination	speeds
CS-R9100	DURA-ACE R9100 Series	road	11-12-13-14-15-16-17-19-21-23-25T, 11-12-13-14-15-17-19-21-23-25-28T, 11-12-13-14-15-17-19-21-24-27-30T, 12-13-14-15-16-17-18-19-21-23-25T, 12-13-14-15-16-17-19-21-23-25-28T	11
CS-6800	ULTEGRA 6800 Series	road	11-12-13-14-15-16-17-18-19-21-23T	11
CS-HG50-9	SORA R3000 Series	road	11-12-14-16-18-20-23-26-30T, 12-13-14-15-17-19-21-23-25T, 13-14-15-16-17-19-21-23-25T, 14-15-16-17-18-19-21-23-25T	9
CS-HG50-8	CLARIS R2000 Series	road	11-13-15-17-19-21-24-28T, 11-13-15-17-20-23-26-30T , 11-13-15-18-21-24-28-32T , 11-13-15-18-21-24-28-34T , 12-13-14-15-17-19-21-23T , 12-13-15-17-19-21-23-25T , 13-14-15-17-19-21-23-26T 	8
CS-R8000	ULTEGRA R8000 Series	road	11-12-13-14-15-16-17-19-21-23-25T, 11-12-13-14-15-17-19-21-23-25-28T, 11-12-13-14-15-17-19-21-24-27-30T, 12-13-14-15-16-17-18-19-21-23-25T, 14-15-16-17-18-19-20-21-23-25-28T, 11-12-13-14-16-18-20-22-25-28-32T	11
CS-R7000	105 R7000 Series	road	11-12-13-14-15-17-19-21-23-25-28T, 11-12-13-14-15-17-19-21-24-27-30T, 11-12-13-14-16-18-20-22-25-28-32T, 12-13-14-15-16-17-18-19-21-23-25T	11
CS-HG800-11	ULTEGRA R8000 Series	road	11-13-15-17-19-21-23-25-27-30-34T	11
CS-HG700-11	105 R7000 Series	road	11-13-15-17-19-21-23-25-27-30-34T	11
CS-5800	METREA U5000 Series	road	11-12-13-14-15-17-19-21-23-25-28T, 11-12-13-14-16-18-20-22-25-28-32T, 12-13-14-15-16-17-18-19-21-23-25T	11
CS-M9001	XTR M9000 Series	mtb	11-13-15-17-19-21-24-27-31-35-40T 	11
CS-M980	XTR M980 Series	mtb	11-13-15-17-19-21-23-26-30-34T , 11-13-15-17-19-21-24-28-32-36T 	10
CS-M8100-12	DEORE XT M8100 Series	mtb	10-12-14-16-18-21-24-28-32-36-40-45T, 10-12-14-16-18-21-24-28-33-39-45-51T	12
CS-HG81-10	SLX M7000 Series	mtb	11-12-14-16-18-20-22-25-28-32T , 11-13-15-17-19-21-23-26-30-34T , 11-13-15-17-19-21-24-28-32-36T 	10
CS-M7100-12	SLX M7100 Series	mtb	10-12-14-16-18-21-24-28-32-36-40-45T, 10-12-14-16-18-21-24-28-33-39-45-51T	12
CS-HG400-9	ALIVIO M4000 Series	mtb	11-12-13-15-17-19-21-23-25T 	9
CS-HG201-9	ALTUS M2000 Series	mtb	11-13-15-17-19-21-24-28-32T , 11-13-15-17-20-23-26-30-34T , 11-13-15-17-20-23-26-30-36T 	9
CS-HG200-8	TOURNEY TX800 Series	mtb	12-14-16-18-21-24-28-32T 	8
CS-M9100-12	XTR M9100 Series	mtb	10-12-14-16-18-21-24-28-32-36-40-45T, 10-12-14-16-18-21-24-28-33-39-45-51T	12
CS-M8000	DEORE XT M8000 Series	mtb	11-13-15-17-19-21-24-27-31-35-40T , 11-13-15-17-19-21-24-28-32-37-42T , 11-13-15-17-19-21-24-28-32-37-46T 	11
CS-M7000-11	SLX M7000 Series	mtb	11-13-15-17-19-21-24-27-31-35-40T , 11-13-15-17-19-21-24-28-32-37-42T , 11-13-15-17-19-21-24-28-32-37-46T 	11
CS-HG500-10	DEORE M6000 Series	mtb	11-12-13-14-15-17-19-21-23-25T, 12-13-14-15-17-19-21-23-25-28T, 11-12-14-16-18-20-22-25-28-32T, 11-13-15-17-19-21-23-26-30-34T	10
CS-HG50-10	DEORE M6000 Series	mtb	11-13-15-17-19-21-24-28-32-36T 	10
CS-HG200-9	ALTUS M2000 Series	mtb	11-13-15-17-19-21-24-28-32T , 11-13-15-17-20-23-26-30-34T , 11-13-15-17-20-23-26-30-36T 	9
CS-HG200-7	TOURNEY	mtb	12-14-16-18-21-24-28T , 12-14-16-18-21-26-32T 	7
CS-5700	ZEE M640 Series	mtb	11-12-13-14-15-17-19-21-23-25T, 11-12-13-14-15-17-19-21-24-28T	10
